10.1.1.219.6097	2008	Central pattern generators for locomotion control in animals and robots: a review
R1	10.1.1.125.9907	Evolving swimming controllers for a simulated lamprey with inspiration from neurobiology
R1	10.1.1.160.7894	Gradient calculation for dynamic recurrent neural networks: a survey
R1	10.1.1.33.3963	Neural Control of Rhythmic Arm Movements
R1	10.1.1.40.2354	Biorobotic Approaches to the Study of Motor Systems
R1	10.1.1.76.1424	Learning from demonstration and adaptation of biped locomotion
R1	10.1.1.109.7202	Automatic locomotion pattern generation for modular robots
R1	10.1.1.23.5247	Biomimetic Walking Robot Scorpion: Control and Modeling
R1	10.1.1.134.7455	Polychaete-like undulatory robotic locomotion
R1	10.1.1.25.6461	A Connectionist Central Pattern Generator for the Aquatic and Terrestrial Gaits of a Simulated Salamander
R1	10.1.1.3.34	Distributed Central Pattern Generator Model for . . .
R1	10.1.1.120.2590	Identification, localization, and modulation of neural networks for walking in the mudpuppy (necturus maculatus) spinal cord
R1	10.1.1.35.7336	Evolution and Development of a Central Pattern Generator for the Swimming of a Lamprey
R1	10.1.1.33.4989	Genetic Algorithms for Gait Synthesis in a Hexapod Robot
R1	10.1.1.26.2878	Cellular Encoding for Interactive Evolutionary Robotics
R1	10.1.1.109.4811	Stability analysis of a simple walking model driven by a rhythmic signal
R1	10.1.1.2.5131	Distributed Central Pattern Generator Control for a Serpentine Robot
R1	10.1.1.212.8686	Neural control of interlimb oscillations. II. Biped and quadruped gaits and bifurcations
R1	10.1.1.67.3276	Finding resonance: Adaptive frequency oscillators for dynamic legged locomotion
R1	10.1.1.79.3617	A simple, adaptive locomotion toy-system
R1	10.1.1.297.6000	The dynamics of legged locomotion: Models, analyses, and challenges
R1	10.1.1.242.8846	Stable concurrent synchronization in dynamic system networks
R1	10.1.1.330.6143	Distributed adaptive locomotion by a modular robotic system, M-Tran II
R1	10.1.1.155.704	Analysis of interconnected oscillators by dissipativity theory
R1	10.1.1.175.9873	Movement generation using dynamical systems: a humanoid robot performing a drumming task
R1	10.1.1.58.5030	Integrating Behavioral and Neural Data in a Model of Zebrafish Network Interaction
R1	10.1.1.219.5153	Online optimization of modular robot locomotion
R1	10.1.1.173.3946	BoxyBot: a swimming and crawling fish robot controlled by a central pattern generator
R1	10.1.1.219.6548	Online optimization of swimming and crawling in an amphibious snake robot
