10.1.1.3.8650	2004	Incentives and Fair Sharing In Peer-to-Peer Systems
R1	10.1.1.12.6173	Free Riding on Gnutella
R1	10.1.1.130.2771	Incentives For Sharing in Peer-to-Peer Networks
R1	10.1.1.19.1750	Distributed Algorithmic Mechanism Design: Recent Results and Future Directions
R1	10.1.1.16.1952	The Eternity Service
R1	10.1.1.110.5867	Storage management and caching in PAST, a large-scale, persistent peer-to-peer storage utility
R1	10.1.1.110.4968	Tangler: A Censorship-Resistant Publishing System Based On Document Entanglements
R1	10.1.1.142.3682	Time, Clocks, and the Ordering of Events in a Distributed System
R1	10.1.1.16.4785	Kademlia: A Peer-to-peer Information System Based on the XOR Metric
R1	10.1.1.127.6130	Practical Byzantine Fault Tolerance
R1	10.1.1.14.1911	Incentives Build Robustness in BitTorrent
R1	10.1.1.10.5753	A BGP-based Mechanism for Lowest-Cost Routing
R1	10.1.1.18.8776	Cooperative Peer Groups in NICE
R1	10.1.1.112.1276	Economic behavior of peer-to-peer storage networks
R1	10.1.1.13.2911	Enforcing Fair Sharing of Peer-to-Peer Resources
R1	10.1.1.138.7942	Algorithmic mechanism design
R1	10.1.1.30.3785	Crowds: Anonymity for Web Transactions
R1	10.1.1.31.1309	Economic mechanism design for computerized agents
R1	10.1.1.24.987	Bidding for Storage Space in a Peer-to-Peer Data Preservation System
R1	10.1.1.12.4193	Rationality and Self-Interest in Peer to Peer Networks
R1	10.1.1.9.4072	Palimpsest: Soft-Capacity Storage for Planetary-Scale Services
R1	10.1.1.101.3227	Pastiche: making backup cheap and easy
R1	10.1.1.13.3375	A Charging and Rewarding Scheme for Packet Forwarding in Multi-hop Cellular Networks
R1	10.1.1.13.9085	High Availability, Scalable Storage, Dynamic Peer Networks: Pick Two
R1	10.1.1.9.8172	Query-Flood DoS Attacks in Gnutella
R1	10.1.1.154.2450	An excess-based economic model for resource allocation in peer-to-peer networks
