10.1.1.63.7335	1998	Secure Hierarchical Multicast Routing and Multicast Internet Anonymity
R1	10.1.1.132.3407	Multicast Routing in Datagram Internetworks and Extended LANs
R1	10.1.1.46.3356	A Source-Based Algorithm For Delay-Constrained Minimum-Cost Multicasting
R1	10.1.1.128.8210	Untraceable electronic mail, return addresses, and digital pseudonyms
R1	10.1.1.382.9865	Core Based Trees (CBT version 2) Multicast Routing: Protocol Specification", RFC 2189
R1	10.1.1.376.2249	Distance Vector Multicast Routing Protocol
R1	10.1.1.30.3785	Crowds: Anonymity for Web Transactions
R1	10.1.1.130.7347	Efficient DES key search
R1	10.1.1.28.537	Secure Group Communications Using Key Graphs
R1	10.1.1.55.2942	Digital Signature Protection of the OSPF Routing Protocol
R1	10.1.1.32.2717	Hierarchical Distance-Vector Multicast Routing for the MBone
R1	10.1.1.33.4614	The Ordered Core Based Tree Protocol
R1	10.1.1.29.8485	Protocol Independent Multicast-Sparse Mode (PIM-SM): Protocol Specification
R1	10.1.1.50.4190	Reasoning about Belief in Cryptographic Protocols
R1	10.1.1.47.7691	How to Forge DES-Encrypted Messages in 2^28 Steps
R1	10.1.1.39.7721	A Dynamic Bootstrap Mechanism for Rendezvous-based Multicast Routing
R1	10.1.1.24.562	A Protocol for Scalable Loop-Free Multicast Routing
R1	10.1.1.48.989	Reducing the Cost of Security in Link-State Routing
R1	10.1.1.47.553	Elements of Trusted Multicasting
R1	10.1.1.39.4030	Ordered Core Based Trees
R1	10.1.1.45.1095	Secure Multicast Communications using a key Distribution Center
