10.1.1.139.6522	2002	Modular Static Program Analysis
R1	10.1.1.207.2895	Systematic design of program analysis frameworks
R1	10.1.1.122.696	Safety checking of machine code
R1	10.1.1.117.2420	Optimization of Object-Oriented Programs using Static Class Hierarchy Analysis
R1	10.1.1.47.386	Escape Analysis: Correctness Proof, Implementation and Experimental Results
R1	10.1.1.219.5404	Enhancing the tractability of rely/guarantee specifications in the development of interfering operations
R1	10.1.1.40.9725	Putting Pointer Analysis to Work
R1	10.1.1.26.9706	Points-to and side-effect analyses for programs built with precompiled libraries
R1	10.1.1.134.3982	Data-Flow Analysis of Program Fragments
R1	10.1.1.47.3888	Deriving Polymorphic Type Dependencies for Logic Programs Using Multiple Incarnations of Prop
R1	10.1.1.119.9045	Estimating the impact of scalable pointer analysis on optimization
R1	10.1.1.25.6013	Context-Sensitive Interprocedural Points-to Analysis in the Presence of Function Pointers
R1	10.1.1.150.9070	Abstract interpretation and application to logic programs
R1	10.1.1.35.2214	Automatic Mode Inference for Logic Programs
R1	10.1.1.133.6615	Componential set-based analysis
R1	10.1.1.25.6331	Efficient Points-To Analysis For Whole-Program Analysis
R1	10.1.1.139.4033	Abstract interpretation frameworks
R1	10.1.1.38.3574	Efficient Chaotic Iteration Strategies With Widenings
R1	10.1.1.54.5254	Formal Language, Grammar and Set-Constraint-Based Program Analysis by Abstract Interpretation
R1	10.1.1.150.7524	Systematic Design of Program Transformation Frameworks by Abstract Interpretation
R1	10.1.1.39.6046	Single and loving it: Must-alias analysis for higher-order languages
R1	10.1.1.128.2866	Abstract interpretation based formal methods and future challenges
R1	10.1.1.52.8863	Assessing the Effects of Flow-Sensitivity on Pointer Alias Analyses (Extended Version)
R1	10.1.1.37.6391	An Approach To Analyzing and Testing Component-Based Systems
R1	10.1.1.16.6372	Dependency Analysis of Mobile Systems
R1	10.1.1.50.7475	Compositional and Inductive Semantic Definitions in Fixpoint, Equational, Constraint, Closure-condition, Rule-based and Game-Theoretic Form
R1	10.1.1.31.5014	Compositional Analysis of Modular Logic Programs
R1	10.1.1.342.5611	A new numerical abstract domain based on difference-bound matrices
R1	10.1.1.134.4503	Separate Abstract Interpretation for Control-Flow Analysis
R1	10.1.1.173.5021	Types as abstract interpretations, invited paper
R1	10.1.1.216.4015	The semantics of Scheme control-flow analysis
R1	10.1.1.19.5385	Relational Abstract Interpretation of Higher-Order Functional Programs (Extended Abstract)
R1	10.1.1.139.2391	Galois connection based abstract interpretations for strictness analysis, invited paper
R1	10.1.1.139.6743	Abstract Interpretation Based Program Testing
R1	10.1.1.50.9966	Abductive Analysis of Modular Logic Programs
R1	10.1.1.34.3964	Off-line Variable Substitution for Scaling Points-to Analysis
R1	10.1.1.73.1973	Efficient computation of parameterized pointer information for interprocedural analyses
