10.1.1.61.1489	2005	Staged Computation with Names and Necessity
R1	10.1.1.17.1563	A Judgmental Reconstruction of Modal Logic
R1	10.1.1.28.4059	A Modal Analysis of Staged Computation
R1	10.1.1.19.5602	Proof-Directed Debugging
R1	10.1.1.36.3276	Many-Valued Modal Logics
R1	10.1.1.31.6162	On the Observable Properties of Higher Order Functions that Dynamically Create Local Names (preliminary report)
R1	10.1.1.10.2747	Partial Evaluation of Computation Process - An Approach to a Compiler-Compiler
R1	10.1.1.1.4088	An Automatic Program Generator for Multi-Level Specialization
R1	10.1.1.35.8117	Notes On Formalizing Context
R1	10.1.1.43.7639	Optimizing ML with Run-Time Code Generation
R1	10.1.1.39.6996	Types, Abstraction, and Parametric Polymorphism, Part 2
R1	10.1.1.62.9845	A new approach to abstract syntax with variable binding
R1	10.1.1.15.7818	Accomplishments and Research Challenges in Meta-Programming
R1	10.1.1.10.6148	Implementing Multi-stage Languages Using ASTs, Gensym, and Reflection
R1	10.1.1.35.8398	Logical Modalities and Multi-Stage Programming
R1	10.1.1.17.4285	MetaML and Multi-Stage Programming with Explicit Annotations
R1	10.1.1.34.1931	A Sound Reduction Semantics for Untyped CBN Multi-Stage Computation. Or, the Theory of MetaML is Non-trivial (Extended Abstract)
R1	10.1.1.121.6317	Automating the Meta Theory of Deductive Systems
R1	10.1.1.325.2035	Ml-like inference for classifiers
R1	10.1.1.139.7319	An Extension to ML to Handle Bound Variables in Data Structures
R1	10.1.1.27.587	A Functional Theory of Local Names
R1	10.1.1.28.5884	Intensionality, Extensionality, and Proof Irrelevance in Modal Type Theory
