10.1.1.138.7951	2008	A Survey of Anonymous Communication Channels
R1	10.1.1.16.1952	The Eternity Service
R1	10.1.1.10.4919	Freenet: A Distributed Anonymous Information Storage and Retrieval System
R1	10.1.1.128.8210	Untraceable electronic mail, return addresses, and digital pseudonyms
R1	10.1.1.16.3291	Introducing Tarzan, a Peer-to-Peer Anonymizing Network Layer
R1	10.1.1.1.3351	Universal Re-encryption for Mixnets
R1	10.1.1.137.5689	An efficient scheme for proving a shuffle
R1	10.1.1.1.6705	Synchronous Batching: From Cascades to Free Routes
R1	10.1.1.25.5586	Web MIXes: A system for anonymous and unobservable Internet access
R1	10.1.1.12.6726	Mix-networks with Restricted Routes
R1	10.1.1.144.2492	Tor: The Second-Generation Onion Router
R1	10.1.1.100.4653	How to break a practical MIX and design a new one
R1	10.1.1.125.9673	GAP – practical anonymous networking
R1	10.1.1.73.2021	Probabilistic treatment of mixes to hamper traffic analysis
R1	10.1.1.19.5991	Optimistic Mixing for Exit-Polls
R1	10.1.1.5.3353	A Pseudonymous Communications Infrastructure For The Internet
R1	10.1.1.24.6256	Traffic Analysis Attacks and Trade-Offs in Anonymity Providing Systems
R1	10.1.1.14.6571	Herbivore: A Scalable and Efficient Protocol for Anonymous Communication
R1	10.1.1.140.9889	Ignoring the great firewall of china
R1	10.1.1.381.4158	Anonymity Loves Company: Usability and the Network Effect
R1	10.1.1.18.5049	Infranet: Circumventing Web Censorship and Surveillance
R1	10.1.1.130.5533	A formal treatment of onion routing
R1	10.1.1.135.8067	Detection of interactive stepping stones: Algorithms and confidence bounds
R1	10.1.1.75.8006	An Improved Construction for Universal Re-encryption
R1	10.1.1.140.7273	Parallel Mixing
R1	10.1.1.118.6274	Onion routing
R1	10.1.1.14.8686	Government mandated blocking of foreign Web content
R1	10.1.1.19.744	Forward Secure Mixes
R1	10.1.1.16.1339	Buses for Anonymous Message Delivery
R1	10.1.1.3.4429	Comparison between Two Practical Mix Designs
R1	10.1.1.141.65	Minx: a simple and efficient anonymous packet format
R1	10.1.1.131.3554	New constructions and practical applications for private stream searching (extended abstract
R1	10.1.1.62.3056	An analysis of parallel mixing with attacker-controlled inputs
R1	10.1.1.68.5912	Deterring voluntary trace disclosure in re-encryption mix networks
R1	10.1.1.99.4904	Route fingerprinting in anonymous communications
